Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3,Winner Rubber 4
Kowloon Cricket Club 2,Young Player 2,Kowloon Cricket Club,1,07/10/2024,3-1,"['3-0', '3-1', '3-0', '1-3']",3,1,10,4,Kowloon Cricket Club 2,Kowloon Cricket Club 2,Kowloon Cricket Club 2,Young Player 2
Hong Kong Football Club 2A,Hong Kong Football Club 2B,Hong Kong Football Club,1,07/10/2024,2-2,"['3-1', '3-0', '0-3', '0-3']",2,2,6,7,Hong Kong Football Club 2A,Hong Kong Football Club 2A,Hong Kong Football Club 2B,Hong Kong Football Club 2B
Hong Kong Football Club 2B,Kowloon Cricket Club 2,Hong Kong Football Club,2,14/10/2024,1-3,"['3-2', '2-3', '1-3', '2-3']",1,3,8,11,Hong Kong Football Club 2B,Kowloon Cricket Club 2,Kowloon Cricket Club 2,Kowloon Cricket Club 2
Hong Kong Cricket Club 2,Hong Kong Football Club 2A,Hong Kong Cricket Club,2,14/10/2024,1-3,"['0-3', '1-3', '1-3', '3-2']",1,3,5,11,Hong Kong Football Club 2A,Hong Kong Football Club 2A,Hong Kong Football Club 2A,Hong Kong Cricket Club 2
Kowloon Cricket Club 2,Hong Kong Cricket Club 2,Kowloon Cricket Club,3,21/10/2024,4-0,"['3-0', '3-0', '3-1', '3-0']",4,0,12,1,Kowloon Cricket Club 2,Kowloon Cricket Club 2,Kowloon Cricket Club 2,Kowloon Cricket Club 2
Young Player 2,Hong Kong Football Club 2B,HK Squash Centre,3,21/10/2024,0-4,"['0-3', '1-3', '1-3', '0-3']",0,4,2,12,Hong Kong Football Club 2B,Hong Kong Football Club 2B,Hong Kong Football Club 2B,Hong Kong Football Club 2B
Hong Kong Cricket Club 2,Young Player 2,Hong Kong Cricket Club,4,28/10/2024,4-0,"['3-0', '3-1', '3-0', '3-2']",4,0,12,3,Hong Kong Cricket Club 2,Hong Kong Cricket Club 2,Hong Kong Cricket Club 2,Hong Kong Cricket Club 2
Hong Kong Football Club 2A,Kowloon Cricket Club 2,Hong Kong Football Club,4,28/10/2024,0-4,"['1-3', '2-3', '2-3', '0-3']",0,4,5,12,Kowloon Cricket Club 2,Kowloon Cricket Club 2,Kowloon Cricket Club 2,Kowloon Cricket Club 2
Young Player 2,Hong Kong Football Club 2A,HK Squash Centre,5,04/11/2024,1-3,"['1-3', '0-3', '2-3', '3-0']",1,3,6,9,Hong Kong Football Club 2A,Hong Kong Football Club 2A,Hong Kong Football Club 2A,Young Player 2
Hong Kong Football Club 2B,Hong Kong Cricket Club 2,Hong Kong Football Club,5,04/11/2024,3-1,"['0-3', '3-1', '3-2', '3-0']",3,1,9,6,Hong Kong Cricket Club 2,Hong Kong Football Club 2B,Hong Kong Football Club 2B,Hong Kong Football Club 2B
Young Player 2,Kowloon Cricket Club 2,HK Squash Centre,6,11/11/2024,0-4,"['0-3', '1-3', '1-3', 'CR']",0,4,2,12,Kowloon Cricket Club 2,Kowloon Cricket Club 2,Kowloon Cricket Club 2,
Hong Kong Football Club 2B,Hong Kong Football Club 2A,Hong Kong Football Club,6,11/11/2024,1-3,"['0-3', '0-3', '3-2', '0-3']",1,3,3,11,Hong Kong Football Club 2A,Hong Kong Football Club 2A,Hong Kong Football Club 2B,Hong Kong Football Club 2A
Kowloon Cricket Club 2,Hong Kong Football Club 2B,Kowloon Cricket Club,7,18/11/2024,4-0,"['3-0', '3-1', '3-1', '3-0']",4,0,12,2,Kowloon Cricket Club 2,Kowloon Cricket Club 2,Kowloon Cricket Club 2,Kowloon Cricket Club 2
Hong Kong Football Club 2A,Hong Kong Cricket Club 2,Hong Kong Football Club,7,18/11/2024,3-1,"['3-2', '3-0', '3-1', '0-3']",3,1,9,6,Hong Kong Football Club 2A,Hong Kong Football Club 2A,Hong Kong Football Club 2A,Hong Kong Cricket Club 2
Hong Kong Cricket Club 2,Kowloon Cricket Club 2,Hong Kong Cricket Club,8,25/11/2024,0-4,"['1-3', '2-3', '0-3', '2-3']",0,4,5,12,Kowloon Cricket Club 2,Kowloon Cricket Club 2,Kowloon Cricket Club 2,Kowloon Cricket Club 2
Hong Kong Football Club 2B,Young Player 2,Hong Kong Football Club,8,25/11/2024,3-1,"['1-3', '3-0', '3-1', '3-0']",3,1,10,4,Young Player 2,Hong Kong Football Club 2B,Hong Kong Football Club 2B,Hong Kong Football Club 2B
